date,xu100,adel,aefes,afyon,akbnk,akcansa,akenerji,aksigorta,aksa,alarko,aselsan,aygaz,banvit,bim,besiktas,ccola,cimsa,dogtas,erbosan,eregli,usd_o,usd_h,usd_l,usd_c,euro_o,euro_h,euro_l,euro_c,s_foreign
1/8/2010,547.98,3.13,16.9,0.9,6.14,7.3,2.39,1.41,1.51,2.26,0.81,5.8,3.76,8.63,1.8,14.2,8,0.78,2.15,2.05,1.4926,1.4985,1.4553,1.4584,2.1408,2.163,2.0756,2.102,67.42
1/15/2010,540.06,3.07,16.6,1.11,5.92,7.2,2.73,1.97,1.46,2.22,0.78,5.85,3.9,8.56,1.86,13.3,7.95,0.79,2.18,2.09,1.4559,1.4663,1.443,1.4583,2.0961,2.1238,2.079,2.1005,67.35
1/22/2010,539.97,3.05,15.6,11.28,5.73,7.1,2.82,1.84,1.41,2.16,0.76,5.85,4.2,8.63,1.8,13.2,8.1,0.74,2.27,2.16,1.455,1.501,1.446,1.4897,2.0947,2.1163,2.0496,2.1069,67.06
1/29/2010,546.51,3.47,15.6,9.1,5.66,7.45,2.94,1.87,1.45,2.15,0.76,6.55,4.84,8.56,1.91,12.5,8,0.75,2.35,2.18,1.487,1.5035,1.48,1.4974,2.107,2.1178,2.0677,2.0759,66.84
2/5/2010,514.55,3.43,15.7,8.34,5.44,7.25,2.71,1.74,1.37,2.02,0.7,6.1,4.76,8.5,1.59,12.1,7.7,0.68,2.75,1.97,1.4942,1.5382,1.478,1.5299,2.071,2.0962,2.0398,2.0919,66.12
2/12/2010,510.64,3.83,15.8,8.55,5.31,7.3,2.74,1.71,1.32,1.98,0.71,6.25,5,8.56,1.71,13,7.75,0.7,2.9,1.94,1.5245,1.5365,1.502,1.5157,2.0688,2.0935,2.0491,2.0661,65.9
2/19/2010,533.19,3.57,15.9,8.75,5.53,7.45,2.82,1.74,1.37,2.05,0.74,6.2,5.26,8.69,1.7,13.2,8.4,0.78,2.58,2.04,1.5138,1.5287,1.5022,1.5124,2.0596,2.0764,2.041,2.0599,66.14
2/26/2010,497.05,3.53,15.6,7.21,5.02,6.8,2.71,1.58,1.28,1.86,0.66,6,4.86,8.56,1.57,14.4,7.95,0.78,2.31,1.93,1.5146,1.5649,1.5073,1.5472,2.0553,2.122,2.042,2.1089,66.33
3/5/2010,526.26,3.87,15.7,7.18,5.44,7.1,2.81,1.95,1.35,1.93,0.73,6.6,4.96,8.63,1.67,13.8,8.15,0.86,2.61,1.96,1.5475,1.5534,1.5302,1.5375,2.1076,2.1163,2.0697,2.0947,66.04
3/12/2010,522.33,4.07,15.7,8.21,5.63,6.85,2.74,1.87,1.31,1.96,0.72,6.35,4.88,8.56,1.73,13.5,8.05,0.87,2.71,1.97,1.535,1.5437,1.5224,1.5283,2.0926,2.1076,2.071,2.1038,66.06
3/19/2010,534.37,4,15.1,7.8,5.85,6.85,2.68,1.96,1.31,1.94,0.73,6.3,4.82,9.94,1.8,14.1,8.05,0.83,2.64,2.01,1.5252,1.5384,1.5082,1.5374,2.0996,2.1034,2.0653,2.0801,66.11
3/26/2010,566.11,4,15.9,7.25,6.5,6.95,2.78,2.17,1.34,1.98,0.74,6.4,4.84,9.94,1.72,14,8.3,0.97,2.92,2.12,1.534,1.5533,1.5299,1.5397,2.0747,2.0942,2.0302,2.0647,66.54
4/2/2010,580.6,4.03,16.1,7.11,6.76,7.1,2.97,2.14,1.42,2.01,0.76,6.6,4.9,10.19,1.77,13.5,8.75,0.99,3.37,2.17,1.5285,1.538,1.511,1.5149,2.062,2.0676,2.0325,2.0464,66.62
4/9/2010,591.85,4.03,17,7.11,6.76,7.55,3.11,2.21,1.59,2.03,0.76,6.9,5,10.5,1.69,13.5,9.4,0.96,3.29,2.15,1.5122,1.5175,1.4829,1.49,2.0395,2.055,1.9902,2.0098,66.73
4/16/2010,582.24,4,17.3,6.91,6.39,7.1,2.94,2.07,1.59,1.98,0.76,6.4,5.04,10.38,1.62,13.6,8.55,1.23,3.37,2.17,1.4815,1.494,1.4688,1.4828,2.0225,2.0353,1.9883,2.0025,66.75
4/23/2010,583.38,4.17,18.9,6.63,6.22,7.1,3.01,2.05,1.65,1.95,0.78,6.45,5.15,10.75,1.52,14.3,8.7,1.18,3.31,2.1,1.4829,1.5004,1.4735,1.4827,1.9997,2.0195,1.9587,1.9844,66.35
4/30/2010,589.59,4.27,18.6,3.21,6.39,8,2.95,2.06,1.6,1.91,0.78,6.5,5.35,10.5,1.52,14.7,8.85,1.16,3.24,2.14,1.4803,1.5174,1.4708,1.4897,1.9742,1.9954,1.9582,1.9814,66.08
5/7/2010,526.87,4.13,17.1,2.12,5.96,7.15,2.31,1.79,1.42,1.67,0.74,5.8,4.64,9.5,1.43,13,8.5,1.04,2.4,2.02,1.4825,1.6283,1.481,1.5641,1.9786,2.0446,1.9521,1.9957,65.89
5/14/2010,557.48,4.4,18.2,2.26,6.52,7.6,2.53,1.88,1.45,1.71,0.75,5.9,5.05,10.31,1.43,14,8.6,1.02,2.64,1.96,1.551,1.5526,1.5094,1.5451,1.9968,2.0081,1.8941,1.9103,65.56
